"DF.L1.C1","label"
-0.286465596635751,"2"
-0.0500323931537408,"2"
-0.272289447427788,"2"
-0.0714542241734868,"2"
-0.154579959312742,"2"
-0.431538175043451,"2"
-0.10756414321803,"1"
-0.0131746614985866,"2"
0.0101552847718643,"2"
0.132790852760823,"2"
-0.134864573108308,"1"
-0.251542845739242,"1"
-0.227063983609796,"1"
-0.100712306699852,"2"
-0.325545256353698,"1"
-0.3488921865037,"1"
-0.28450058408669,"1"
-0.466176679210532,"1"
-0.306258182635487,"2"
-0.166900568549136,"1"
-0.228663331112987,"2"
-0.215954708547837,"2"
0.119788744647251,"2"
-0.581147439853889,"2"
-0.321602256644484,"1"
-0.444629250393507,"1"
-0.154505339784733,"2"
-0.120879036076989,"1"
-0.268112840394205,"1"
-0.324907065310836,"2"
-0.137404624127865,"1"
-0.178990154728033,"2"
-0.0660411762316797,"2"
-0.155723949242604,"1"
0.157792678986193,"1"
-0.313686814294666,"1"
0.0893101330481224,"1"
-0.269514642231687,"2"
-0.269563054480263,"2"
-0.142331943389004,"2"
-0.0247911642130336,"2"
-0.196608209846508,"1"
-0.241275200812785,"2"
-0.225551120447147,"1"
0.16937876949651,"1"
0.00681450526558269,"1"
-0.109707475661081,"2"
0.0719040747702621,"1"
0.16562011912497,"2"
-0.349820818619706,"1"
-0.22467459852809,"1"
0.0413656898634849,"1"
-0.114324218386799,"2"
0.0585119791981736,"1"
-0.241363790483742,"1"
0.0165665462301299,"2"
-0.0286104801283729,"2"
-0.134750470239104,"1"
-0.176187229235387,"1"
-0.164575571495585,"2"
-0.168733244697932,"1"
0.0147043106940082,"2"
-0.236519455002442,"1"
-0.0646788460414038,"2"
-0.232076386200468,"1"
-0.191146805165276,"2"
0.0135693793032975,"1"
-0.00461843971869413,"2"
-0.0739599016800865,"1"
-0.126620804268953,"1"
0.135575942468839,"1"
-0.0889296370006547,"2"
-0.43975016161316,"2"
0.0869250822025596,"1"
-0.280522885708709,"2"
-0.136950499489143,"1"
-0.0648456426632276,"2"
-0.152008101089786,"1"
-0.138893445741734,"1"
-0.0401691570989038,"2"
-0.113809795799849,"2"
-0.256679108381659,"2"
-0.174573431435759,"1"
-0.195684883840381,"1"
-0.275574489546374,"2"
-0.0724350964231233,"2"
-0.173217104320134,"1"
-0.201423883907617,"2"
-0.0529795517742231,"1"
0.206114486554562,"2"
0.145162963442984,"2"
0.141767393799021,"2"
-0.0256562791215011,"2"
-0.172182367529431,"1"
-0.28029952067181,"1"
-0.232802563391729,"2"
-0.0719802510342935,"1"
-0.272634151388774,"1"
-0.362254195507983,"2"
-0.0543885802957422,"1"
-0.125456301974489,"2"
-0.0307817303277631,"2"
0.0569346972631464,"1"
0.167845781588968,"1"
-0.239433512943859,"1"
-0.271164481467729,"1"
-0.256880983911958,"1"
