"DF.L1.C1","DF.L2.C1","DF.L2.C2","label"
0.118019898975212,-0.894263164279886,-0.499509202468916,"1"
0.51788773061471,-0.977770183889345,-0.0145279664010241,"1"
0.417853176802648,-0.966986948389302,-0.14707556829515,"1"
-0.91266992413461,0.55298562813943,-0.958359505472808,"3"
0.076957981703484,-0.876515574574646,-0.53953566729779,"1"
-0.409076005628215,-0.368359037546965,-0.849044521179449,"1"
-0.539754407341108,-0.124003987264543,-0.891106432742482,"1"
-0.519592111112802,-0.16356787990121,-0.885425427614378,"1"
-0.745147482370364,0.279333761224778,-0.935612121034582,"1"
-0.570379737022856,-0.0631884895764776,-0.899229881300035,"1"
-0.992308763572494,0.654005992392517,-0.96620488559549,"3"
-0.475078729460046,-0.248913923005344,-0.871884106713572,"1"
-0.775971272140989,0.335248533906165,-0.940550466218312,"1"
-0.570969292412274,-0.0620116589098656,-0.899380490390446,"1"
-0.634942262130314,0.0660134556961625,-0.914511876700763,"1"
-0.948316542530065,0.600614078664533,-0.962070230260863,"3"
0.0724820183417587,-0.874420681903381,-0.543760341592405,"1"
0.117772683493857,-0.894163891688445,-0.499756986914562,"1"
0.0588138602119274,-0.867816682912206,-0.556491552130996,"1"
0.309418636964732,-0.949470345862811,-0.284885701496936,"1"
-0.466141112500351,-0.265638705874663,-0.868991083828913,"1"
-0.359435308202217,-0.451037871494033,-0.829462824838702,"1"
-0.55419645923415,-0.0954127266331715,-0.89501139394545,"1"
-0.169165876077833,-0.699999579865496,-0.73164584929382,"1"
-0.552811225006373,-0.098162709562293,-0.894642653040296,"1"
-0.425838861422561,-0.338972041922494,-0.855176759014946,"1"
-0.443911301244348,-0.306532462038383,-0.861530187270286,"1"
-0.665449334151197,0.126562999258906,-0.920938269841602,"1"
-0.988920903279816,0.650103412981317,-0.965902867428012,"3"
-0.349420941974192,-0.466878341239287,-0.82524284527084,"1"
0.513613919506665,-0.977390464145268,-0.0202349642140727,"1"
0.222052879048166,-0.929035326671867,-0.388209459943961,"1"
-0.235176827848851,-0.626123702304997,-0.770043272956003,"1"
-0.279517531113265,-0.569076892772701,-0.793073759572253,"1"
-0.380685936816079,-0.416472356139211,-0.838112871805866,"1"
-0.14962548465999,-0.719428039803311,-0.719283564854496,"1"
0.0882671326181789,-0.881663989168411,-0.52873970447442,"1"
-0.246981102393133,-0.611528374640058,-0.776383681209526,"1"
0.0124150101609631,-0.842922772257791,-0.597797957609104,"1"
-0.15968845286044,-0.709557606871468,-0.725708394370518,"1"
-0.450048576833142,-0.29534748625154,-0.863628447896386,"1"
-0.520492734167,-0.161810814608643,-0.885685026541492,"1"
-0.453241740208439,-0.28949564253128,-0.864708462407423,"1"
-0.486311742523314,-0.227682471679185,-0.875435724142839,"1"
-0.572775059643555,-0.0584060491376222,-0.899840470200276,"1"
-0.983828417304081,0.644172096333327,-0.96544389068194,"3"
-0.378092993138646,-0.42075798487185,-0.837079246484939,"1"
-0.430094982364553,-0.331401153807834,-0.856696786099737,"1"
-0.600119536782319,-0.00367463559762693,-0.906566712363021,"1"
-0.327253743438245,-0.5008902498734,-0.815564411941789,"1"
-0.0498894855489438,-0.802760528315037,-0.648633857544086,"1"
-0.226456360559331,-0.636632329431265,-0.765259309939641,"1"
-0.461187196245263,-0.274841184624427,-0.867361488842343,"1"
-0.187613908267916,-0.680653218500435,-0.742891786974713,"1"
-0.411681546699668,-0.363837406799052,-0.850013101806275,"1"
-0.253275645201308,-0.603570520052123,-0.779701810602955,"1"
-0.142068153561949,-0.726654942963269,-0.714376083864088,"1"
-0.182797720314451,-0.685799358896537,-0.739995183019572,"1"
-0.243093819875434,-0.616381989155772,-0.774312769596103,"1"
-0.453919958936452,-0.288249918891038,-0.864936830774016,"1"
-0.546634547398597,-0.110405909701546,-0.892983526717289,"1"
-0.494547774513076,-0.211975583723908,-0.877981138668262,"1"
-0.648232804406655,0.0924786606121104,-0.917370732341452,"1"
