"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","label"
0.956338328161518,-0.822497365251074,-0.489821978231509,-0.510569511187429,-0.541618115972558,-0.464920782745055,0.192625719154799,1
0.94364335346973,-0.8183262303233,-0.489840312696264,-0.502526967075282,-0.536612113971385,-0.460238541787348,0.187047940413111,1
0.88842682985774,-0.799142017134235,-0.489920053021801,-0.466529901925453,-0.514396859172954,-0.439575383753336,0.162651284397895,1
0.978472338175046,-0.829563462544915,-0.489790010591438,-0.524380337249367,-0.550254996540159,-0.473022464119827,0.202320817173967,1
0.999426187310848,-0.836016761717391,-0.489759746216904,-0.537205558502463,-0.558324336705769,-0.480619192239327,0.211462618139893,1
-0.969439344310286,0.647531860957442,-0.492598288611381,0.792325010428255,0.433422272873238,0.380010114215521,-0.593271789921053,1
0.999976023050539,-0.836183065132621,-0.489758952054091,-0.537538819946511,-0.558534675389688,-0.480817572647701,0.211702012066385,1
-0.643942740126275,0.416865726775101,-0.492129735296632,0.664181662845558,0.275825694606914,0.242413842127402,-0.488691379311245,1
0.973257992137949,-0.82792215108182,-0.489797541669724,-0.521151065102429,-0.54823076420358,-0.471120975261896,0.200040331129335,1
0.616761860648366,-0.676804271514967,-0.49031225556477,-0.267447666015229,-0.394966604293516,-0.331248210753546,0.0402631376267217,1
0.00935997155972046,-0.209565708650448,-0.491188443200839,0.238812923054724,-0.0798442188164348,-0.0591463132314465,-0.23225021732818,1
-0.557668570005213,0.342729128642102,-0.492005495537084,0.621064651341795,0.230955245014769,0.203953509078828,-0.458188671912724,1
0.810535862552557,-0.769029547226076,-0.490032524454136,-0.413020064123096,-0.481849757942749,-0.409620563533643,0.127902033117737,1
0.14732755528722,-0.337601491723416,-0.490989509721889,0.125277305378852,-0.155440751134638,-0.123323681488605,-0.171955979907202,1
