"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
-0.0680772509058658,-0.135965592707132,-0.91618359022051,0.0922009422338048,-0.0860204388063783,0.974418557288199,0.366299277741667,0.786744016171026,0.357991438052972,0.542836883044768,1
-0.584648754544722,0.754261796679296,-0.275140290419468,-0.934276797979106,-0.900775633997141,0.999147381006312,-0.0820038363694078,0.994845041493122,0.545044071055833,-0.718441605451987,1
-0.75130844697944,0.643594105243992,-0.667566366135844,-0.937608056270022,-0.843777368380102,0.99950215913981,0.127238344516184,0.995274199344086,0.604334435859478,-0.652742646316889,1
-0.397891279791986,0.592202999541136,-0.427841311914177,-0.955121519636073,-0.87757705683349,0.999124223976844,0.0729235869061374,0.995251555609752,0.549663425446941,-0.565943045879382,1
-0.831086599388868,0.782768235211431,0.0760370541686853,-0.885803639385889,-0.923839826658806,0.998892438631142,-0.301297334697643,0.992302299261204,0.514996633608149,-0.812931940752025,1
-0.91515403394083,0.970462533399784,0.948232973490855,-0.982338054890633,-0.996587769332225,0.997938193385575,-0.627218880521925,0.989292599452746,0.441837443238386,-0.919164254674431,1
0.648442729216156,-0.900292487119431,-0.936581958684978,-0.256411813617418,0.581614160222731,0.926695647740811,0.839519407440925,0.36142619598797,0.451377163307643,0.93795537754742,1
-0.99205879471779,0.993164167530636,0.867160030964143,-0.998554577234383,-0.999060795483451,0.998345906595811,-0.610664213370032,0.99027087152629,0.464285439099272,-0.924824493610545,1
0.104873043533029,-0.442327267403731,-0.865645179208745,-0.62267156527096,-0.249555353063422,0.99422618088374,0.637104896165929,0.952131629235079,0.514534050313031,0.649802806806608,1
-0.222814753753985,0.79757299447157,0.280968239618341,-0.798892527052313,-0.903713377308805,0.996815906568737,-0.347100249657867,0.990679649646805,0.406713571282317,-0.710110953818536,1
0.35384342375752,0.329847299227545,0.0349249706182415,-0.967178275629571,-0.888125906174797,0.996683449509908,0.0357934954652752,0.993814630436163,0.419545785092508,-0.18821968824578,1
